grammatical	ungrammatical
b b b b b b b c b c b c c b b b b b c c	a b b b b b b b c b c b c c b b b b b c c
b c c c b c c b b b b b b c b b b b c b	d b c c c b c c b b b b b b c b b b b c b
b b b c b c b c b b b c c c c c b c c b	b d b b c b c b c b b b c c c c c b c c b
b b b b b c b c c b b c b b c c d b b b	b b b b b a c b c c b b c b b c c d b b b
b b b b b c c b b b b c c c c c c c b c	b b b b b c c b b b b c c d c c c c c b c
b b b b c c b b c b c c b b c b b b d b	b b b b c c b b c b c c b b c b b b d b d
b b b c b b b c c b b c c b c c d b b b	b b b c b b b c c b b a c c b c c d b b b
b b b c c b b c b c c c b c c b c b c b	b b b c c b b a c b c c c b c c b c b c b
b b b c c c c c c b c c c b c b c d b b	b b b c c c d c c b c c c b c b c d b b
b b c b b b b b c c c c c b c c c c b c	b b c b b d b b c c c c c b c c c c b c
b b c b c b c b c b b c b b b c c b d b	b b c b c b c b d b b c b b b c c b d b
b b c c b b b b b c c c b b c c d b b b	b b c c b b b b b c c c b a b c c d b b b
b b c c b c c c b c b b b c c c c b c c	b b c c b c c c b c b a b c c c c b c c
b b c c c c b c c b b c c c b b c c d b	b b c c c c b c c b b c c c b b c c d d b
b c c b b c c c b c b b b c c b c b c b	b c a c b b c c c b c b b b c c b c b c b
b c b b b b c c c b b b b b b b b b c c	b c b b b b c c c b b b b b b b b b c d c
b c b b c b b c c c b c b c b c c d b b	b c b b c b b c c c b c b c a b c c d b b
b c b c b b c b c b b c c c b b d b b b	b c b c b d b c b c b b c c c b b d b b b
b c b c b c c c c c c c b b b b c b b b	b c b c b c c c c c c c b b b b a b b b
b c b c c c b c b c b b c c c b b b c b	b c b c c c b c b c b b c c c b b b a b
b c c b b b b c c c c b c b c b b b c b	b c c b b b a c c c c b c b c b b b c b
b c c b b c b c c c b c b b b c c c b c	b c c b b c b c c a b c b b b c c c b c
b c c b c c b b c b c c c c c b c c b c	b c c b c c b b c a b c c c c c b c c b c
b c c c b b c b b b b c b b b b c c c c	b c c c b b c b b b a c b b b b c c c c
b c c c c c c c b c b b b b c c c b c d	b c c c c d c c c b c b b b b c c c b c d
b c c c b b b b c c c c b b b c c c c b	b c c d b b b b c c c c b b b c c c c b
c b c b c b c b b b c b b c c c c c d b	c a b c b c b c b b b c b b c c c c c d b
c b b c b c b b c b b b b b b c b b c d	c b d b c b c b b c b b b b b b c b b c d
c b b b b c c c c b b c b b b b c b c b	c b b b b a c c c b b c b b b b c b c b
c b b b c b c b c c c b c c c c b b c d	c b b b c b c b c d c c b c c c c b b c d
c b b c b c b c c c c c b b b c b b c c	c b b c a c b c c c c c b b b c b b c c
c b b c b c c c b b c c b c b c c c c c	c b b c b c c c b b c a c b c b c c c c c
c b b c c c b c b b b c c b c b b c c d	c b b c c c b c b b b c d c b c b b c c d
c b c b b b b b b b c c b b c c b c b b	c b c b b b b b b b c d c b b c c b c b b
c b c b b c c c b b b b b b b b c d b b	c b c b b c c c b b b b b b b b c d a b b
c b c b c c b b c c b b b b b c c b c b	c b c b c c b b c c b b b b d b c c b c b
c b c c b b c b c b b c b c b b b c c c	c b c c b b c b c b b a c b c b b b c c c
c b c c c b b b b c b c b c c c b c c b	c b c c c b b b b c b a c b c c c b c c b
c b c c c c c c b c c c c c c c b b c b	c b c c c c c c b c c c c c a c c b b c b
c c b c b b b c b b b c b b c c c b b d	c c b a c b b b c b b b c b b c c c b b d
