grammatical	ungrammatical
b b b b c c b b c b b c c c b c c c c b c b b b b b b b c d b	a b b b b c c b b c b b c c c b c c c c b c b b b b b b b c d b
b b b b b b b b b c c b c c b b b c c c b c b b b b b b c c d	b b b b b b b b b c c b c c b b b c c c b c b d b b b b c c d
b b b b c b c c c c c b b c b c b b b b c c b c b c c b c b b	b b b b c b c c c c c b b c b c b b b b c c b c b c d b c b b
b b b c b c b c b b b c c b b c c c b c b b c b c c c c b b b	b b b c b c b c b b b c c b b d c c b c b b c b c c c c b b b
b b b c c c c b c b b b c c b b b c b b b b c c c c b b c c b	b b b c d c c b c b b b c c b b b c b b b b c c c c b b c c b
b b c b c b b b b c b b c c b b c c c c c b b c c c c b d b b	b b c b c b b a b b c b b c c b b c c c c c b b c c c c b d b b
b b c c b b c c c c c b c b b c c c c c b c c c c b d b b b b	b b c c b b c c c c c b c b d c c c c c b c c c c b d b b b b
b b c c c c c b c b b b b b c c b c c b c b b b b c b c c c b	b b c c c c c b c b d b b b c c b c c b c b b b b c b c c c b
b c b b b c c c b b c c b b b b c c c b c b c b c b c b c b c	b c b b b c c c b b c c b b b b c c c b c b c b c b d c b c b c
b c b c b b c b b b c c c c b c c c b c c b b b b c b c b b c	b c b c b b c b b b c c c c b c c c b c c b b b b c b c b b c a
b c b c c c b b c b b b b c b b c b b c b b c b b b c b b c b	b c b c c c b b c b b b b c b b d c b b c b b c b b b c b b c b
b c c b b c c c c c b c c b c c b c b b c c b c c b c c c b b	b c c b b c c c c c b c c b c c b c b b c c b c c b c c a c b b
b c c c b b b c c c c b c b b c c c b b c b b b b b b c b c c	b c c c b b b c c c c b c b b c c c b b c b b b b a b b c b c c
b c c c c c c b b b b b c c c c b c b c b b c c b c c b c c d	b c c c c c c b b b b b c c c c b a c b c b b c c b c c b c c d
c b b b b b c b c c c b c c c c c b c c c b b b c c b b b c d	c b b b b b c b c c c b c c c c c b c c c b b b c c b b b c d c
c b b c b b b b c c b b b b b c b b b b c c c b b c c c b d b	c b b c b b b b c c b b b d b b c b b b b c c c b b c c c b d b
c b b c c c b c c c b c c b c c b c c b b b b b c b b c c b d	c b b c c c b c c c b c c b d c c b c c b b b b b c b b c c b d
c b c b b c c b c b b c c b b c c c b c b c b b b b c b c d b	c b c b b c c b c b b c c b b c d c b c b c b b b b c b c d b
